txn_id,user_id,txn_date,category,amount,merchant_type
T00364,U0196,2026-08-06,쇼핑,131100,패션형
T00367,U0050,2026-08-06,쇼핑,9800,패션형
T00383,U0049,2026-08-06,식비,7500,일반음식점형
T00418,U0065,2026-08-06,여가,8100,영화관형
T00419,U0098,2026-08-06,저축,150000,자동이체저축형
T00438,U0114,2026-08-06,공과금,71700,가스요금형
T00454,U0137,2026-08-06,여가,85500,취미클래스형
T00493,U0484,2026-08-06,저축,420000,수시입금저축형
T00497,U0233,2026-08-06,교통,2200,공유모빌리티형
T00499,U0250,2026-08-06,공과금,18800,가스요금형
T00545,U0443,2026-08-06,쇼핑,12500,전자기기형
T00584,U0486,2026-08-06,여가,8200,취미클래스형
T00598,U0182,2026-08-06,여가,8700,영화관형
T00001,U0400,2026-08-07,쇼핑,159100,전자기기형
T00012,U0319,2026-08-07,식비,5800,마트형
T00108,U0374,2026-08-07,교통,18350,대중교통형
T00133,U0460,2026-08-07,교통,12350,주유형
T00152,U0306,2026-08-07,쇼핑,12400,전자기기형
T00172,U0181,2026-08-07,식비,7700,마트형
T00223,U0312,2026-08-07,저축,90000,자동이체저축형
T00258,U0130,2026-08-07,식비,30000,마트형
T00279,U0019,2026-08-07,쇼핑,15600,패션형
T00294,U0169,2026-08-07,식비,20300,배달앱형
T00317,U0409,2026-08-07,식비,10900,마트형
T00366,U0489,2026-08-07,구독,7000,OTT구독형
T00393,U0206,2026-08-07,교통,6800,공유모빌리티형
T00538,U0322,2026-08-07,식비,4500,편의점형
T00550,U0142,2026-08-07,여가,51200,헬스장형
T00587,U0211,2026-08-07,식비,17600,마트형
T00044,U0314,2026-08-08,쇼핑,63800,생활용품형
T00055,U0104,2026-08-08,쇼핑,25100,온라인쇼핑형
T00080,U0327,2026-08-08,여가,67100,헬스장형
T00123,U0173,2026-08-08,식비,40800,일반음식점형
T00151,U0173,2026-08-08,식비,17900,편의점형
T00165,U0286,2026-08-08,쇼핑,94900,온라인쇼핑형
T00166,U0198,2026-08-08,식비,5300,마트형
T00170,U0061,2026-08-08,저축,50000,수시입금저축형
T00195,U0040,2026-08-08,식비,32800,편의점형
T00268,U0486,2026-08-08,공과금,19600,전기요금형
T00273,U0260,2026-08-08,공과금,30100,전기요금형
T00296,U0019,2026-08-08,저축,120000,자동이체저축형
T00410,U0205,2026-08-08,여가,36900,공연형
T00421,U0079,2026-08-08,공과금,24000,통신요금형
T00468,U0168,2026-08-08,교통,5450,주유형
T00492,U0325,2026-08-08,쇼핑,28600,생활용품형
T00508,U0253,2026-08-08,구독,14500,음악구독형
T00543,U0390,2026-08-08,교통,13600,주유형
T00560,U0402,2026-08-08,여가,8400,영화관형
T00583,U0426,2026-08-08,식비,10600,마트형
T00040,U0439,2026-08-09,식비,4600,일반음식점형
T00081,U0454,2026-08-09,쇼핑,134600,생활용품형
T00092,U0134,2026-08-09,구독,13700,음악구독형
T00101,U0463,2026-08-09,공과금,27200,전기요금형
T00122,U0469,2026-08-09,쇼핑,92000,전자기기형
T00127,U0278,2026-08-09,교통,2650,택시형
T00149,U0414,2026-08-09,저축,430000,자동이체저축형
T00189,U0445,2026-08-09,쇼핑,84800,패션형
T00205,U0341,2026-08-09,쇼핑,43200,온라인쇼핑형
T00271,U0003,2026-08-09,식비,4900,일반음식점형
T00306,U0417,2026-08-09,저축,200000,자동이체저축형
T00329,U0431,2026-08-09,쇼핑,76300,전자기기형
T00333,U0323,2026-08-09,교통,25950,대중교통형
T00338,U0055,2026-08-09,여가,16300,취미클래스형
T00361,U0290,2026-08-09,저축,50000,자동이체저축형
T00370,U0230,2026-08-09,교통,24000,택시형
T00461,U0099,2026-08-09,교통,2950,주유형
T00554,U0067,2026-08-09,식비,8300,마트형
T00586,U0397,2026-08-09,쇼핑,68400,패션형
T00592,U0118,2026-08-09,저축,470000,자동이체저축형
T00038,U0060,2026-08-10,교통,7800,공유모빌리티형
T00138,U0268,2026-08-10,식비,4500,일반음식점형
T00202,U0481,2026-08-10,여가,67400,공연형
T00302,U0345,2026-08-10,구독,4900,음악구독형
T00320,U0210,2026-08-10,식비,4900,카페형
T00322,U0334,2026-08-10,교통,2500,대중교통형
T00345,U0473,2026-08-10,식비,29400,카페형
T00350,U0317,2026-08-10,교통,27350,택시형
T00365,U0296,2026-08-10,식비,13800,일반음식점형
T00371,U0044,2026-08-10,구독,21100,OTT구독형
T00400,U0319,2026-08-10,공과금,62900,관리비형
T00405,U0380,2026-08-10,공과금,44800,가스요금형
T00420,U0219,2026-08-10,저축,50000,수시입금저축형
T00452,U0136,2026-08-10,교통,4150,대중교통형
T00548,U0055,2026-08-10,식비,16200,편의점형
T00558,U0299,2026-08-10,교통,2350,공유모빌리티형
T00595,U0253,2026-08-10,식비,29000,배달앱형
T00009,U0193,2026-08-11,교통,26800,대중교통형
T00022,U0239,2026-08-11,쇼핑,27600,패션형
T00073,U0308,2026-08-11,교통,13250,대중교통형
T00095,U0428,2026-08-11,교통,19850,대중교통형
T00096,U0450,2026-08-11,여가,33600,취미클래스형
T00105,U0011,2026-08-11,식비,33500,일반음식점형
T00185,U0414,2026-08-11,교통,1250,대중교통형
T00187,U0490,2026-08-11,식비,4800,일반음식점형
T00229,U0311,2026-08-11,공과금,45000,전기요금형
T00290,U0227,2026-08-11,식비,11300,편의점형
T00354,U0446,2026-08-11,저축,150000,자동이체저축형
T00391,U0344,2026-08-11,저축,460000,수시입금저축형
T00444,U0162,2026-08-11,쇼핑,14000,생활용품형
T00447,U0038,2026-08-11,여가,18600,공연형
T00488,U0283,2026-08-11,쇼핑,16900,온라인쇼핑형
T00506,U0024,2026-08-11,식비,35000,일반음식점형
T00525,U0025,2026-08-11,저축,380000,수시입금저축형
T00572,U0085,2026-08-11,식비,4500,마트형
T00596,U0456,2026-08-11,저축,130000,자동이체저축형
T00039,U0281,2026-08-12,구독,11300,클라우드구독형
T00093,U0206,2026-08-12,공과금,74200,전기요금형
T00098,U0386,2026-08-12,저축,60000,수시입금저축형
T00106,U0083,2026-08-12,쇼핑,170600,패션형
T00107,U0357,2026-08-12,식비,6000,카페형
T00124,U0473,2026-08-12,쇼핑,9800,전자기기형
T00130,U0388,2026-08-12,저축,70000,자동이체저축형
T00167,U0463,2026-08-12,구독,5700,OTT구독형
T00196,U0348,2026-08-12,식비,5200,카페형
T00230,U0088,2026-08-12,식비,19700,카페형
T00243,U0132,2026-08-12,교통,6850,대중교통형
T00266,U0293,2026-08-12,쇼핑,139400,패션형
T00293,U0455,2026-08-12,식비,5600,편의점형
T00299,U0003,2026-08-12,구독,15700,음악구독형
T00328,U0273,2026-08-12,식비,8300,배달앱형
T00355,U0271,2026-08-12,쇼핑,85600,패션형
T00360,U0412,2026-08-12,교통,9400,공유모빌리티형
T00379,U0128,2026-08-12,여가,33100,공연형
T00392,U0351,2026-08-12,여가,90700,공연형
T00429,U0091,2026-08-12,구독,4900,음악구독형
T00448,U0312,2026-08-12,여가,89400,취미클래스형
T00459,U0227,2026-08-12,구독,5700,음악구독형
T00013,U0431,2026-08-13,쇼핑,21600,온라인쇼핑형
T00019,U0067,2026-08-13,쇼핑,9900,패션형
T00048,U0412,2026-08-13,식비,32600,카페형
T00056,U0163,2026-08-13,공과금,30000,전기요금형
T00119,U0013,2026-08-13,저축,90000,수시입금저축형
T00145,U0260,2026-08-13,식비,5600,카페형
T00158,U0487,2026-08-13,식비,19900,일반음식점형
T00342,U0500,2026-08-13,쇼핑,38600,패션형
T00353,U0483,2026-08-13,저축,170000,수시입금저축형
T00397,U0309,2026-08-13,식비,23800,마트형
T00426,U0268,2026-08-13,식비,26600,마트형
T00432,U0267,2026-08-13,교통,7150,주유형
T00484,U0294,2026-08-13,쇼핑,17300,전자기기형
T00507,U0083,2026-08-13,저축,60000,수시입금저축형
T00553,U0098,2026-08-13,식비,7200,카페형
T00589,U0419,2026-08-13,식비,30900,편의점형
T00006,U0090,2026-08-14,식비,10600,편의점형
T00077,U0339,2026-08-14,공과금,43100,관리비형
T00079,U0003,2026-08-14,구독,4900,클라우드구독형
T00085,U0332,2026-08-14,구독,5400,클라우드구독형
T00094,U0430,2026-08-14,저축,240000,자동이체저축형
T00146,U0308,2026-08-14,공과금,20000,전기요금형
T00203,U0120,2026-08-14,구독,10100,OTT구독형
T00226,U0211,2026-08-14,여가,16500,영화관형
T00247,U0352,2026-08-14,저축,450000,자동이체저축형
T00248,U0286,2026-08-14,교통,12250,주유형
T00257,U0339,2026-08-14,식비,5900,카페형
T00261,U0137,2026-08-14,교통,8950,대중교통형
T00270,U0368,2026-08-14,교통,6800,택시형
T00276,U0057,2026-08-14,쇼핑,137600,전자기기형
T00368,U0041,2026-08-14,교통,20500,택시형
T00374,U0495,2026-08-14,여가,15200,헬스장형
T00466,U0423,2026-08-14,여가,61000,취미클래스형
T00539,U0339,2026-08-14,교통,15100,주유형
T00569,U0315,2026-08-14,쇼핑,105400,전자기기형
T00582,U0181,2026-08-14,저축,380000,수시입금저축형
T00591,U0469,2026-08-14,식비,23500,편의점형
T00601,U0012,2026-08-14,쇼핑,1850000,전자기기형
T00030,U0035,2026-08-15,교통,12000,택시형
T00035,U0481,2026-08-15,교통,15800,공유모빌리티형
T00061,U0286,2026-08-15,식비,24600,카페형
T00075,U0315,2026-08-15,저축,320000,수시입금저축형
T00128,U0037,2026-08-15,여가,85300,공연형
T00177,U0435,2026-08-15,구독,12200,OTT구독형
T00204,U0142,2026-08-15,식비,16400,카페형
T00209,U0237,2026-08-15,식비,4700,마트형
T00214,U0069,2026-08-15,저축,300000,자동이체저축형
T00255,U0469,2026-08-15,공과금,20700,전기요금형
T00303,U0331,2026-08-15,교통,9800,택시형
T00337,U0369,2026-08-15,교통,1250,주유형
T00344,U0170,2026-08-15,여가,17000,공연형
T00376,U0486,2026-08-15,식비,31400,배달앱형
T00396,U0124,2026-08-15,교통,18100,택시형
T00427,U0363,2026-08-15,구독,5400,음악구독형
T00451,U0420,2026-08-15,쇼핑,128800,온라인쇼핑형
T00482,U0182,2026-08-15,저축,300000,자동이체저축형
T00528,U0202,2026-08-15,여가,39900,취미클래스형
T00537,U0135,2026-08-15,공과금,45500,통신요금형
T00546,U0414,2026-08-15,식비,17700,배달앱형
T00562,U0376,2026-08-15,교통,5300,공유모빌리티형
T00568,U0398,2026-08-15,구독,4900,클라우드구독형
T00599,U0096,2026-08-15,쇼핑,53400,전자기기형
T00045,U0291,2026-08-16,식비,6800,마트형
T00069,U0208,2026-08-16,여가,53300,취미클래스형
T00078,U0309,2026-08-16,여가,49400,취미클래스형
T00082,U0427,2026-08-16,교통,2600,택시형
T00116,U0426,2026-08-16,식비,19200,마트형
T00159,U0325,2026-08-16,식비,21800,마트형
T00217,U0471,2026-08-16,식비,5000,일반음식점형
T00221,U0353,2026-08-16,저축,370000,수시입금저축형
T00237,U0328,2026-08-16,식비,28300,일반음식점형
T00274,U0165,2026-08-16,구독,12500,OTT구독형
T00325,U0449,2026-08-16,공과금,73400,통신요금형
T00356,U0389,2026-08-16,식비,18100,일반음식점형
T00455,U0068,2026-08-16,쇼핑,14100,패션형
T00457,U0046,2026-08-16,교통,23050,공유모빌리티형
T00511,U0279,2026-08-16,교통,3800,공유모빌리티형
T00588,U0250,2026-08-16,공과금,65900,전기요금형
T00091,U0411,2026-08-17,식비,30700,카페형
T00117,U0381,2026-08-17,구독,5100,OTT구독형
T00131,U0404,2026-08-17,교통,27800,택시형
T00184,U0184,2026-08-17,식비,24400,마트형
T00192,U0419,2026-08-17,저축,260000,수시입금저축형
T00327,U0249,2026-08-17,식비,8300,일반음식점형
T00388,U0074,2026-08-17,여가,23400,영화관형
T00430,U0392,2026-08-17,여가,44600,헬스장형
T00431,U0317,2026-08-17,여가,48500,취미클래스형
T00435,U0030,2026-08-17,저축,50000,자동이체저축형
T00518,U0301,2026-08-17,쇼핑,45000,전자기기형
T00523,U0434,2026-08-17,공과금,18300,관리비형
T00576,U0101,2026-08-17,식비,4500,배달앱형
T00052,U0335,2026-08-18,교통,17250,공유모빌리티형
T00070,U0373,2026-08-18,공과금,18300,전기요금형
T00086,U0059,2026-08-18,식비,7000,편의점형
T00126,U0068,2026-08-18,저축,50000,자동이체저축형
T00155,U0166,2026-08-18,공과금,47200,통신요금형
T00175,U0495,2026-08-18,식비,22400,마트형
T00176,U0018,2026-08-18,식비,36100,일반음식점형
T00201,U0397,2026-08-18,공과금,26100,관리비형
T00224,U0083,2026-08-18,교통,1400,공유모빌리티형
T00331,U0196,2026-08-18,구독,7700,음악구독형
T00348,U0424,2026-08-18,공과금,75500,전기요금형
T00377,U0260,2026-08-18,식비,8600,편의점형
T00409,U0448,2026-08-18,교통,6450,주유형
T00415,U0371,2026-08-18,여가,8000,공연형
T00433,U0188,2026-08-18,구독,6600,OTT구독형
T00434,U0446,2026-08-18,교통,1400,택시형
T00443,U0199,2026-08-18,식비,40700,일반음식점형
T00514,U0361,2026-08-18,교통,18550,주유형
T00534,U0091,2026-08-18,쇼핑,111200,패션형
T00551,U0138,2026-08-18,여가,87100,헬스장형
T00041,U0184,2026-08-19,교통,9550,택시형
T00051,U0368,2026-08-19,식비,34800,일반음식점형
T00097,U0049,2026-08-19,식비,7300,카페형
T00231,U0101,2026-08-19,식비,6000,마트형
T00280,U0434,2026-08-19,저축,80000,수시입금저축형
T00336,U0148,2026-08-19,교통,14500,주유형
T00349,U0373,2026-08-19,식비,5000,카페형
T00462,U0004,2026-08-19,구독,12100,클라우드구독형
T00474,U0332,2026-08-19,쇼핑,16000,패션형
T00504,U0443,2026-08-19,식비,5400,마트형
T00512,U0229,2026-08-19,구독,11000,클라우드구독형
T00573,U0091,2026-08-19,식비,4900,일반음식점형
T00593,U0289,2026-08-19,여가,53700,취미클래스형
T00026,U0406,2026-08-20,식비,19800,카페형
T00074,U0166,2026-08-20,여가,40600,취미클래스형
T00161,U0126,2026-08-20,교통,13700,공유모빌리티형
T00210,U0416,2026-08-20,구독,6100,생산성앱구독형
T00267,U0078,2026-08-20,식비,11200,카페형
T00300,U0181,2026-08-20,식비,15700,일반음식점형
T00358,U0128,2026-08-20,쇼핑,38800,패션형
T00530,U0260,2026-08-20,여가,51000,영화관형
T00002,U0300,2026-08-21,쇼핑,168800,생활용품형
T00014,U0031,2026-08-21,교통,2750,공유모빌리티형
T00063,U0486,2026-08-21,여가,60300,영화관형
T00102,U0118,2026-08-21,식비,20900,카페형
T00182,U0129,2026-08-21,여가,11300,공연형
T00219,U0397,2026-08-21,여가,87400,공연형
T00312,U0306,2026-08-21,구독,19500,생산성앱구독형
T00381,U0219,2026-08-21,쇼핑,10600,패션형
T00387,U0354,2026-08-21,여가,75400,취미클래스형
T00403,U0338,2026-08-21,쇼핑,32500,패션형
T00475,U0129,2026-08-21,식비,9900,카페형
T00480,U0148,2026-08-21,여가,8400,영화관형
T00510,U0206,2026-08-21,식비,26100,카페형
T00602,U0030,2026-08-21,쇼핑,-89000,온라인쇼핑형
T00007,U0384,2026-08-22,식비,4700,카페형
T00024,U0274,2026-08-22,여가,63600,취미클래스형
T00042,U0299,2026-08-22,여가,61400,공연형
T00053,U0277,2026-08-22,쇼핑,48900,전자기기형
T00132,U0298,2026-08-22,구독,22100,클라우드구독형
T00139,U0072,2026-08-22,쇼핑,28300,전자기기형
T00160,U0078,2026-08-22,쇼핑,188100,패션형
T00169,U0371,2026-08-22,식비,5100,편의점형
T00197,U0389,2026-08-22,식비,13600,일반음식점형
T00212,U0349,2026-08-22,저축,260000,수시입금저축형
T00227,U0342,2026-08-22,식비,5300,일반음식점형
T00239,U0277,2026-08-22,쇼핑,65700,온라인쇼핑형
T00313,U0173,2026-08-22,식비,4600,편의점형
T00346,U0389,2026-08-22,식비,5000,편의점형
T00363,U0134,2026-08-22,여가,13600,영화관형
T00450,U0347,2026-08-22,식비,19700,마트형
T00486,U0492,2026-08-22,쇼핑,19100,온라인쇼핑형
T00501,U0325,2026-08-22,교통,1800,택시형
T00524,U0291,2026-08-22,쇼핑,135300,생활용품형
T00552,U0343,2026-08-22,쇼핑,112900,패션형
T00003,U0048,2026-08-23,쇼핑,76100,온라인쇼핑형
T00015,U0435,2026-08-23,쇼핑,17000,생활용품형
T00023,U0036,2026-08-23,식비,12800,마트형
T00028,U0429,2026-08-23,구독,9000,음악구독형
T00029,U0061,2026-08-23,저축,100000,수시입금저축형
T00173,U0443,2026-08-23,여가,8000,취미클래스형
T00178,U0057,2026-08-23,저축,360000,자동이체저축형
T00241,U0498,2026-08-23,식비,21700,일반음식점형
T00260,U0333,2026-08-23,식비,8800,마트형
T00264,U0029,2026-08-23,교통,13450,공유모빌리티형
T00288,U0286,2026-08-23,구독,9800,클라우드구독형
T00373,U0079,2026-08-23,식비,16600,편의점형
T00380,U0050,2026-08-23,공과금,117300,관리비형
T00399,U0002,2026-08-23,공과금,109500,전기요금형
T00404,U0260,2026-08-23,식비,10900,일반음식점형
T00413,U0182,2026-08-23,식비,11200,카페형
T00414,U0445,2026-08-23,쇼핑,17600,전자기기형
T00467,U0088,2026-08-23,공과금,27100,전기요금형
T00494,U0330,2026-08-23,쇼핑,179300,패션형
T00495,U0331,2026-08-23,식비,10400,일반음식점형
T00500,U0170,2026-08-23,식비,31500,편의점형
T00515,U0141,2026-08-23,쇼핑,84000,패션형
T00516,U0392,2026-08-23,쇼핑,14800,생활용품형
T00520,U0299,2026-08-23,교통,1250,대중교통형
T00581,U0132,2026-08-23,쇼핑,21600,전자기기형
T00034,U0233,2026-08-24,식비,41600,마트형
T00043,U0312,2026-08-24,쇼핑,133200,전자기기형
T00064,U0419,2026-08-24,교통,7050,공유모빌리티형
T00065,U0197,2026-08-24,교통,10000,공유모빌리티형
T00084,U0483,2026-08-24,구독,5600,OTT구독형
T00104,U0134,2026-08-24,교통,4950,택시형
T00110,U0322,2026-08-24,교통,4700,대중교통형
T00112,U0373,2026-08-24,쇼핑,15500,온라인쇼핑형
T00163,U0473,2026-08-24,저축,60000,자동이체저축형
T00244,U0466,2026-08-24,공과금,53300,관리비형
T00249,U0359,2026-08-24,여가,8200,공연형
T00269,U0325,2026-08-24,교통,1450,택시형
T00278,U0482,2026-08-24,구독,7300,생산성앱구독형
T00297,U0191,2026-08-24,식비,27600,마트형
T00375,U0367,2026-08-24,쇼핑,121900,패션형
T00390,U0295,2026-08-24,식비,23400,카페형
T00398,U0161,2026-08-24,식비,4800,카페형
T00408,U0273,2026-08-24,저축,190000,수시입금저축형
T00498,U0494,2026-08-24,식비,21400,마트형
T00502,U0297,2026-08-24,식비,10700,마트형
T00521,U0156,2026-08-24,식비,6400,편의점형
T00004,U0230,2026-08-25,공과금,28500,가스요금형
T00025,U0202,2026-08-25,식비,5100,마트형
T00120,U0365,2026-08-25,교통,1900,택시형
T00140,U0173,2026-08-25,교통,3000,주유형
T00162,U0318,2026-08-25,교통,1300,주유형
T00181,U0085,2026-08-25,여가,13800,헬스장형
T00232,U0191,2026-08-25,식비,24900,편의점형
T00254,U0335,2026-08-25,식비,14400,카페형
T00305,U0069,2026-08-25,교통,3100,대중교통형
T00321,U0041,2026-08-25,식비,16100,일반음식점형
T00324,U0202,2026-08-25,쇼핑,40900,온라인쇼핑형
T00389,U0423,2026-08-25,교통,4100,주유형
T00464,U0485,2026-08-25,저축,60000,자동이체저축형
T00470,U0126,2026-08-25,저축,150000,수시입금저축형
T00566,U0298,2026-08-25,공과금,36100,통신요금형
T00036,U0279,2026-08-26,교통,1700,택시형
T00057,U0138,2026-08-26,교통,15800,택시형
T00090,U0209,2026-08-26,여가,68100,헬스장형
T00121,U0209,2026-08-26,저축,210000,자동이체저축형
T00121,U0209,2026-08-26,저축,210000,자동이체저축형
T00148,U0487,2026-08-26,저축,190000,자동이체저축형
T00174,U0356,2026-08-26,저축,50000,수시입금저축형
T00225,U0090,2026-08-26,여가,8000,취미클래스형
T00309,U0012,2026-08-26,식비,5000,카페형
T00318,U0435,2026-08-26,저축,90000,자동이체저축형
T00332,U0253,2026-08-26,여가,90300,공연형
T00340,U0181,2026-08-26,쇼핑,21000,패션형
T00401,U0208,2026-08-26,식비,9500,편의점형
T00411,U0410,2026-08-26,여가,20200,영화관형
T00437,U0386,2026-08-26,교통,3400,대중교통형
T00440,U0074,2026-08-26,교통,8450,대중교통형
T00473,U0468,2026-08-26,쇼핑,31600,전자기기형
T00478,U0427,2026-08-26,쇼핑,133100,온라인쇼핑형
T00487,U0158,2026-08-26,식비,29300,일반음식점형
T00542,U0250,2026-08-26,식비,13200,편의점형
T00563,U0314,2026-08-26,여가,14500,취미클래스형
T00580,U0250,2026-08-26,식비,17800,편의점형
T00590,U0002,2026-08-26,쇼핑,11200,생활용품형
T00594,U0223,2026-08-26,쇼핑,10500,생활용품형
T00600,U0132,2026-08-26,식비,27100,배달앱형
T00088,U0437,2026-08-27,공과금,33200,통신요금형
T00113,U0293,2026-08-27,식비,7300,일반음식점형
T00114,U0397,2026-08-27,공과금,41100,통신요금형
